ApplicationDate,Age,AnnualIncome,CreditScore,EmploymentStatus,LoanAmount,MonthlyIncome,MonthlyDebtPayments,TotalDebtToIncomeRatio,LoanApproved,InterestRate,MonthlyLoanPayment,,RiskScore
01-01-2018,45,39948,617,Employed,13152,3329,183,0.18107719782539416,0,0.22758963035547056,419.8059915607372,,49
02-01-2018,38,39709,628,Employed,26045,3309.0833333333335,496,0.3898524480253535,0,0.2010771214969362,794.0542382198969,,52
03-01-2018,47,40724,570,Employed,17627,3393.6666666666665,902,0.4621569652325321,0,0.21254800984525773,666.4066876774697,,52
04-01-2018,58,69084,545,Employed,37898,5757,755,0.3130983116604649,0,0.3009108491496013,1047.5069802292967,,54
05-01-2018,37,103264,594,Employed,9184,8605.333333333334,274,0.070209847,1,0.17599017877532833,330.17914048482373,,36
06-01-2018,37,178310,626,Self-Employed,15433,14859.166666666666,732,0.075211289,1,0.21760115512283368,385.5770741531959,,44
07-01-2018,58,51250,564,Employed,12741,4270.833333333333,337,0.1705288628289459,0,0.20527096780610313,391.30035166528967,,50
08-01-2018,49,97345,516,Employed,19634,8112.083333333333,288,0.2607665587313296,1,0.20911294209821452,1827.3600549751066,,42.400000000000006
09-01-2018,34,116841,603,Employed,55353,9736.75,638,0.2465092588411087,0,0.291539425,1762.1990260211653,,61
10-01-2018,46,40615,612,Employed,25443,3384.5833333333335,704,0.9033837027516506,0,0.19727060238590077,2353.577423938191,,53
11-01-2018,34,73646,478,Employed,48716,6137.166666666667,267,0.2886433733129584,0,0.3335388817645363,1504.4524892505112,,47
12-01-2018,34,15000,591,Employed,30088,1250,295,1.440487622182721,0,0.1824011978415739,1505.6095277284012,,56
13-01-2018,42,74453,573,Employed,16154,6204.416666666667,258,0.11887336552882168,0,0.2556845305679195,479.5398903097801,,56
14-01-2018,18,100508,580,Employed,20439,8375.666666666666,247,0.10045547019190196,0,0.24537427375417806,594.3815331706401,,63
15-01-2018,19,47624,597,Employed,27197,3968.6666666666665,196,0.30484529854518944,0,0.20222892178091925,1013.8293748263418,,58
16-01-2018,33,56650,605,Employed,12652,4720.833333333333,336,0.1730289485515403,1,0.21641275248041184,480.84082795372984,,33.6
17-01-2018,27,50042,582,Employed,19105,4170.166666666667,680,0.28118335248217186,0,0.18712938714021898,492.58144374273706,,53
18-01-2018,43,142326,644,Employed,13499,11860.5,772,0.090653449,1,0.22379476530680692,303.1952309300833,,39.2
19-01-2018,29,16021,553,Employed,14655,1335.0833333333333,286,0.49972676549263234,0,0.23476621286054383,381.1768758297885,,59
20-01-2018,23,34698,594,Employed,14314,2891.5,755,0.40108424309495366,0,0.23147831381548117,404.73508890905856,,48
21-01-2018,57,106749,630,Employed,15698,8895.75,1059,0.17316069904749376,1,0.20441269189765232,481.39428855174276,,32.800000000000004
22-01-2018,37,59138,594,Employed,13205,4928.166666666667,564,0.1804154528987787,0,0.2114439606199491,325.1174211273312,,51
23-01-2018,40,114216,635,Employed,9809,9518,571,0.087359414,1,0.2011140337279482,260.48690525168723,,46.400000000000006
24-01-2018,22,63300,503,Employed,16476,5275,376,0.23512217494486468,0,0.23167028804200007,864.2694728341611,,53
25-01-2018,33,39676,555,Employed,47795,3306.3333333333335,199,0.48742753015134543,0,0.2534741417542575,1412.5978905237318,,60
26-01-2018,41,59192,594,Unemployed,45608,4932.666666666667,222,0.38894651090732446,0,0.2006826444515419,1696.5434894688626,,58
27-01-2018,26,15059,462,Employed,20240,1254.9166666666667,443,1.2106004696960564,0,0.24602066510262535,1076.2027060960763,,51
28-01-2018,44,15305,608,Self-Employed,21452,1275.4166666666667,443,0.8821776393249853,0,0.2253753021812303,682.1440641557417,,51
29-01-2018,32,35498,622,Employed,11136,2958.1666666666665,698,0.36920779239115104,0,0.16484597125860287,394.1781845250898,,48
30-01-2018,36,60227,576,Employed,25264,5018.916666666667,458,0.21518968434981306,1,0.23912897098167804,622.0190932780162,,36.800000000000004
31-01-2018,32,23861,592,Self-Employed,19570,1988.4166666666667,521,0.6262963304952381,0,0.19703489214572906,724.3380618289065,,55
01-02-2018,62,73843,667,Unemployed,44668,6153.583333333333,388,0.26960774963397094,0,0.2346033277950418,1271.0537546851097,,62
02-02-2018,39,61099,559,Employed,10094,5091.583333333333,380,0.1262220627848725,0,0.2610500458274805,262.6701511744103,,51
03-02-2018,27,15000,535,Employed,11318,1250,721,0.8451189173630622,0,0.3435940105064144,335.3986467038278,,53
04-02-2018,49,34738,520,Employed,10166,2894.8333333333335,388,0.2338510562781137,0,0.2739332434358121,288.9598327490928,,55
05-02-2018,25,85889,571,Employed,24186,7157.416666666667,870,0.21881308962241625,0,0.27961774816718443,696.1364545483091,,49
06-02-2018,42,78701,552,Employed,18326,6558.416666666667,482,0.1504954016313275,1,0.21891235092158512,505.01155031559216,,36
07-02-2018,18,24914,604,Employed,8015,2076.1666666666665,327,0.29185883331189916,1,0.152812,278.94758109438794,,45.6
08-02-2018,24,57231,508,Unemployed,35876,4769.25,370,0.3188759399250725,0,0.23046819821647452,1150.799076487652,,50
09-02-2018,42,163303,655,Self-Employed,12850,13608.583333333334,337,0.046812085,1,0.18953129408825548,300.04616134031113,,37.6
10-02-2018,48,38453,595,Unemployed,30517,3204.4166666666665,560,0.47803491854308894,0,0.22623053291270148,971.8230602281166,,54
11-02-2018,42,99920,582,Self-Employed,23363,8326.666666666666,298,0.2924156916888919,1,0.1754356855019271,2136.847992796173,,44.800000000000004
12-02-2018,38,57860,591,Employed,25576,4821.666666666667,159,0.17471227470839237,0,0.28765495773856664,683.4043512189653,,47
13-02-2018,36,30890,590,Employed,10176,2574.1666666666665,289,0.3089627143958264,0,0.1765266450530429,506.3215206405897,,53
14-02-2018,22,15561,500,Employed,20169,1296.75,346,0.8789827706405052,0,0.24239029981600255,793.8209078280751,,55
15-02-2018,31,105957,530,Employed,53987,8829.75,399,0.2398003695631571,0,0.32675098777775874,1718.3773131502862,,54
16-02-2018,34,82887,545,Employed,20996,6907.25,471,0.15097004918912377,0,0.27958320840515605,571.7878722615751,,50
17-02-2018,52,53555,631,Employed,29418,4462.916666666667,221,0.23069903300144035,0,0.21766387983059335,808.5905593660116,,47
18-02-2018,44,105639,627,Employed,20409,8803.25,387,0.10029836423393397,0,0.2637402272037486,495.9515749423792,,46
19-02-2018,18,58342,519,Employed,10077,4861.833333333333,592,0.23350231951450615,0,0.26069905016349804,543.2493604262762,,50
20-02-2018,43,121939,653,Employed,41215,10161.583333333334,220,0.14178170036349985,1,0.1846492795717869,1220.7265633854008,,32.800000000000004
21-02-2018,35,16054,526,Employed,20612,1337.8333333333333,465,0.9453145676926072,0,0.23166382802826557,799.6733391447596,,53
22-02-2018,31,36057,592,Employed,29501,3004.75,384,0.4998597592758183,0,0.21428528117704998,1117.9536116840152,,51
23-02-2018,47,124086,631,Employed,36798,10340.5,713,0.24449758017382445,1,0.16765179918792492,1815.227227787432,,39.2
24-02-2018,52,272693,586,Employed,19717,22724.416666666668,278,0.032458318,1,0.2181145262191699,459.5963314611698,,38.400000000000006
25-02-2018,51,48757,615,Employed,16173,4063.0833333333335,817,0.2946505995419076,0,0.22132280452355302,380.1899401553989,,52
26-02-2018,29,31683,498,Employed,10566,2640.25,183,0.2748476528064098,0,0.2094714381765813,542.6665153221236,,48
27-02-2018,36,69003,499,Self-Employed,5376,5750.25,458,0.10214991923098034,1,0.24841496840600466,129.3875730579447,,42.400000000000006
28-02-2018,43,72408,616,Employed,23181,6034,803,0.2609354984345637,0,0.25221720000000003,771.4847975541575,,63
01-03-2018,51,105087,653,Employed,48331,8757.25,772,0.22611588402533492,0,0.27371249889953586,1208.1533253808643,,44
02-03-2018,34,15000,607,Employed,26412,1250,468,0.9227589445355053,0,0.27645051699694695,685.4486806693817,,48
03-03-2018,37,38513,600,Self-Employed,21225,3209.4166666666665,373,0.3285884173512688,0,0.2311041625309269,681.5771431207845,,52
04-03-2018,26,77555,527,Employed,22854,6462.916666666667,499,0.2086140314895691,1,0.1999300668014297,849.2551010144613,,39.2
05-03-2018,25,15000,576,Employed,18177,1250,528,0.8804342432710571,0,0.21985490534928614,572.5428040888214,,57
06-03-2018,49,24973,611,Employed,17466,2081.0833333333335,336,0.42653478921966664,0,0.22144309759493855,551.6544409318947,,55
07-03-2018,56,18248,574,Employed,16443,1520.6666666666667,733,1.018569210587213,0,0.1736984562994106,815.9042462329553,,48
08-03-2018,39,67367,615,Self-Employed,26889,5613.916666666667,317,0.19504869550314952,1,0.1715112,777.9871224967229,,42.400000000000006
09-03-2018,52,32418,647,Employed,32208,2701.5,447,1.241946318602034,0,0.15070939987953627,2908.117979703395,,50
10-03-2018,44,26879,649,Employed,20313,2239.9166666666665,562,0.4906432260830812,0,0.19896395136076134,536.9999395,,50
11-03-2018,32,54128,620,Employed,20676,4510.666666666667,322,0.23658552116897788,1,0.1777530372100154,745.1584241528697,,36.800000000000004
12-03-2018,44,19924,535,Employed,21767,1660.3333333333333,495,0.7695016785743396,0,0.2991204,782.6292869929284,,56
13-03-2018,58,90788,672,Employed,18243,7565.666666666667,153,0.10268524,1,0.14042856942387733,623.8822990927248,,34.4
14-03-2018,39,190445,619,Employed,28894,15870.416666666666,304,0.08813335,1,0.21412530585962042,1094.712989199109,,33.6
15-03-2018,58,35372,612,Employed,25313,2947.6666666666665,424,0.5796511273150141,0,0.19699965783119566,1284.6183062822233,,50
16-03-2018,18,15000,570,Employed,50226,1250,537,1.7138900559826005,0,0.22838000594627508,1605.3625699782506,,58
17-03-2018,49,40829,617,Employed,25478,3402.4166666666665,785,0.5011766435212588,0,0.17931209922314958,920.2117648607897,,49
18-03-2018,41,58655,523,Employed,26493,4887.916666666667,206,0.20482464218289653,0,0.3344401374117971,795.1657822698164,,51
19-03-2018,36,68801,531,Employed,18652,5733.416666666667,1044,0.31767308413160966,0,0.2857824,777.3521551115733,,53
20-03-2018,41,92731,619,Employed,31116,7727.583333333333,396,0.17710973037265565,0,0.2154245032726364,972.6302005988942,,50
21-03-2018,18,40050,545,Self-Employed,112253,3337.5,406,1.4497027068648651,0,0.35848569614889864,4432.3827841614875,,64
22-03-2018,37,40784,618,Employed,41465,3398.6666666666665,370,0.4702315117680041,0,0.29276347309468026,1228.1601646621898,,45
23-03-2018,44,15000,588,Employed,26563,1250,378,0.9602231910360269,0,0.2098160677696806,822.2789887950337,,48
24-03-2018,57,86699,615,Employed,7469,7224.916666666667,413,0.084486108,1,0.19884973652677415,197.40508700773685,,36
